"quad","tag","dx","dy","dap","dbhcm","alt","fam","gen","species","nfuste","arv_key","status","subquad","xlim","ylim","gx","gy","qx","qy","pom","censo"
"B00",101,3.4,16.6,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia brasiliensis",NA,"arv_101.1","M","B00quad_0x15",20,0,23.4,16.6,3.4,1.6,1.3,2019
"B00",103,1,16.5,69,6.9,4,"Malpighiaceae","Byrsonima","Byrsonima ligustrifolia",3,"arv_103.1","A","B00quad_0x15",20,0,21,16.5,1,1.5,1.3,2019
"B00",104,2,17.5,72,7.2,10,"Myrtaceae","Myrcia","Myrcia racemosa",2,"arv_104.1","A","B00quad_0x15",20,0,22,17.5,2,2.5,1.3,2019
"B00",105,1,13.5,126,12.6,10,"Myrtaceae","Myrcia","Myrcia pubipetala",1,"arv_105.1","A","B00quad_0x10",20,0,21,13.5,1,3.5,1.3,2019
"B00",106,0.4,18.9,NA,NA,NA,"Clusiaceae","Calophyllum","Calophyllum brasiliense",NA,"arv_106.1","M","B00quad_0x15",20,0,20.4,18.9,0.4,3.9,1.3,2019
"B00",107,5.1,3.1,NA,NA,NA,"Rubiaceae","Amaioua","Amaioua intermedia",NA,"arv_107.1","M","B00quad_5x0",20,0,25.1,3.1,0.0999999999999996,3.1,1.3,2019
"C00",108,1.5,2,NA,NA,NA,"Annonaceae","Xylopia","Xylopia langsdorffiana",NA,"arv_108.1","M","C00quad_0x0",40,0,41.5,2,1.5,2,1.3,2019
"C00",110,4.7,1.4,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_110.1","M","C00quad_0x0",40,0,44.7,1.4,4.7,1.4,1.3,2019
"C00",111,2.1,6,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_111.1","M","C00quad_0x5",40,0,42.1,6,2.1,1,1.3,2019
"C00",114,6,6.2,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_114.1","M","C00quad_5x5",40,0,46,6.2,1,1.2,1.3,2019
"C00",115,7.3,4.8,NA,NA,NA,"Lauraceae","Ocotea","Ocotea pulchella",NA,"arv_115.1","M","C00quad_5x0",40,0,47.3,4.8,2.3,4.8,1.3,2019
"C00",116,7,6.9,360,36,17,"Elaeocarpaceae","Sloanea","Sloanea guianensis",3,"arv_116.1","A","C00quad_5x5",40,0,47,6.9,2,1.9,1.3,2019
"C00",117,7.1,6.8,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_117.1","M","C00quad_5x5",40,0,47.1,6.8,2.1,1.8,1.3,2019
"C00",118,7.3,7,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_118.1","M","C00quad_5x5",40,0,47.3,7,2.3,2,1.3,2019
"C00",121,7.1,8.6,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_121.1","M","C00quad_5x5",40,0,47.1,8.6,2.1,3.6,1.3,2019
"C00",125,7.5,14,115,11.5,8,"Myrtaceae","Myrcia","Myrcia racemosa",2,"arv_125.1","A","C00quad_5x10",40,0,47.5,14,2.5,4,1.3,2019
"C00",128,14.1,12.5,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_128.1","M","C00quad_10x10",40,0,54.1,12.5,4.1,2.5,1.3,2019
"C00",129,3,14,140,14,10,"Myrtaceae","Myrcia","Myrcia pubipetala",1,"arv_129.1","A","C00quad_0x10",40,0,43,14,3,4,1.3,2019
"C00",130,7.2,14.4,NA,NA,NA,"Clusiaceae","Calophyllum","Calophyllum brasiliense",NA,"arv_130.1","M","C00quad_5x10",40,0,47.2,14.4,2.2,4.4,1.3,2019
"C00",132,6,18,NA,NA,NA,"Clusiaceae","Calophyllum","Calophyllum brasiliense",NA,"arv_132.1","M","C00quad_5x15",40,0,46,18,1,3,1.3,2019
"C00",133,7.6,18,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_133.1","M","C00quad_5x15",40,0,47.6,18,2.6,3,1.3,2019
"C00",134,7.5,14.4,NA,NA,NA,"Araliaceae","Schefflera","Schefflera angustissima",NA,"arv_134.1","M","C00quad_5x10",40,0,47.5,14.4,2.5,4.4,1.3,2019
"C00",135,15.5,16,89,8.9,16,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_135.1","A","C00quad_15x15",40,0,55.5,16,0.5,1,1.3,2019
"C00",136,14.7,16.7,NA,NA,NA,"Annonaceae","Xylopia","Xylopia langsdorffiana",NA,"arv_136.1","M","C00quad_10x15",40,0,54.7,16.7,4.7,1.7,1.3,2019
"C00",137,15.9,15.8,81,8.1,10,"Myrtaceae","Myrcia","Myrcia racemosa",1,"arv_137.1","A","C00quad_15x15",40,0,55.9,15.8,0.9,0.800000000000001,1.3,2019
"C00",138,18,14,418,41.8,16,"Myrtaceae","Psidium","Psidium cattleyanum",1,"arv_138.1","A","C00quad_15x10",40,0,58,14,3,4,1.3,2019
"C00",140,18.7,16.4,NA,NA,NA,"Myrtaceae","Psidium","Psidium cattleyanum",NA,"arv_140.1","M","C00quad_15x15",40,0,58.7,16.4,3.7,1.4,1.3,2019
"C00",143,11.7,4.2,83,8.3,7.5,"Myrtaceae","Myrcia","Myrcia racemosa",3,"arv_143.1","A","C00quad_10x0",40,0,51.7,4.2,1.7,4.2,1.3,2019
"C00",146,14.1,2.3,86,8.6,17,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_146.1","A","C00quad_10x0",40,0,54.1,2.3,4.1,2.3,1.3,2019
"C00",148,11.6,3.5,NA,NA,NA,"Arecaceae","Euterpe","Euterpe edulis",NA,"arv_148.1","D","C00quad_10x0",40,0,51.6,3.5,1.6,3.5,1.3,2019
"C00",150,10.4,2.6,264,26.4,18,"Sapotaceae","Pouteria","Pouteria beaurepairei",1,"arv_150.1","A","C00quad_10x0",40,0,50.4,2.6,0.4,2.6,1.3,2019
"C00",154,18.4,4,102,10.2,7,"Myrtaceae","Myrcia","Myrcia racemosa",5,"arv_154.1","A","C00quad_15x0",40,0,58.4,4,3.4,4,1.3,2019
"C00",156,19.1,6.1,130,13,4,"Rubiaceae","Amaioua","Amaioua intermedia",1,"arv_156.1","A","C00quad_15x5",40,0,59.1,6.1,4.1,1.1,1.3,2019
"C00",159,16,9.5,90,9,12,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_159.1","A","C00quad_15x5",40,0,56,9.5,1,4.5,1.3,2019
"C00",160,17.5,9.5,98,9.8,3.5,"Arecaceae","Astrocaryum","Astrocaryum aculeatissimum",1,"arv_160.1","A","C00quad_15x5",40,0,57.5,9.5,2.5,4.5,1.3,2019
"C00",163,11.3,1.5,87,8.7,8,"Myrtaceae","Myrcia","Myrcia racemosa",4,"arv_163.1","A","C00quad_10x0",40,0,51.3,1.5,1.3,1.5,1.3,2019
"C00",166,2.8,12.6,120,12,12,"Myrtaceae","Myrcia","Myrcia racemosa",4,"arv_166.1","A","C00quad_0x10",40,0,42.8,12.6,2.8,2.6,1.3,2019
"C00",167,4.1,16.4,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia multiflora",NA,"arv_167.1","M","C00quad_0x15",40,0,44.1,16.4,4.1,1.4,1.3,2019
"B00",168,18.7,15.4,NA,NA,NA,"Araliaceae","Schefflera","Schefflera angustissima",NA,"arv_168.1","M","B00quad_15x15",20,0,38.7,15.4,3.7,0.4,1.3,2019
"C00",168.9,1,17.6,NA,NA,NA,"Araliaceae","Schefflera","Schefflera angustissima",NA,"arv_168.9.1","M","C00quad_0x15",40,0,41,17.6,1,2.6,1.3,2019
"B00",169,17.9,16.3,NA,NA,NA,"Aquifoliaceae","Ilex","Ilex dumosa",NA,"arv_169.1","M","B00quad_15x15",20,0,37.9,16.3,2.9,1.3,1.3,2019
"C00",170,1.7,16.3,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia racemosa",NA,"arv_170.1","M","C00quad_0x15",40,0,41.7,16.3,1.7,1.3,1.3,2019
"B01",171,9.8,2.8,NA,NA,NA,"Clusiaceae","Calophyllum","Calophyllum brasiliense",NA,"arv_171.1","M","B01quad_5x0",20,20,29.8,22.8,4.8,2.8,1.3,2019
"B01",172,14.4,1.5,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia brasiliensis",NA,"arv_172.1","M","B01quad_10x0",20,20,34.4,21.5,4.4,1.5,1.3,2019
"B01",175,2.7,13.5,NA,NA,NA,"Myrtaceae","Eugenia","Eugenia stigmatosa",NA,"arv_175.1","M","B01quad_0x10",20,20,22.7,33.5,2.7,3.5,1.3,2019
"B01",180,18.5,2.5,75,7.5,13,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_180.1","A","B01quad_15x0",20,20,38.5,22.5,3.5,2.5,1.3,2019
"B01",181,1.1,18.5,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia racemosa",NA,"arv_181.1","M","B01quad_0x15",20,20,21.1,38.5,1.1,3.5,1.3,2019
"I06",182,18.5,14,46,4.6,4,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_182.1","A","I06quad_15x10",160,120,178.5,134,3.5,4,1.3,2019
"B01",183,18.5,3,65,6.5,13,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_183.1","A","B01quad_15x0",20,20,38.5,23,3.5,3,1.3,2019
"B01",186,9,7,82,8.2,9,"Myrtaceae","Myrcia","Myrcia racemosa",1,"arv_186.1","A","B01quad_5x5",20,20,29,27,4,2,1.3,2019
"B01",187,5.5,6.5,291,29.1,16,"Myrtaceae","Myrcia","Myrcia multiflora",1,"arv_187.1","A","B01quad_5x5",20,20,25.5,26.5,0.5,1.5,1.3,2019
"B01",189,5.5,5.5,101,10.1,7.5,"Myrtaceae","Myrcia","Myrcia racemosa",3,"arv_189.1","A","B01quad_5x5",20,20,25.5,25.5,0.5,0.5,1.3,2019
"B01",190,4.6,4,116,11.6,10,"Myrtaceae","Myrcia","Myrcia racemosa",3,"arv_190.1","A","B01quad_0x0",20,20,24.6,24,4.6,4,1.3,2019
"B01",193,3.5,3.5,72,7.2,11,"Arecaceae","Euterpe","Euterpe edulis",1,"arv_193.1","A","B01quad_0x0",20,20,23.5,23.5,3.5,3.5,1.3,2019
"B01",195,0.2,5.1,NA,NA,NA,"Myrtaceae","Myrcia","Myrcia multiflora",NA,"arv_195.1","M","B01quad_0x5",20,20,20.2,25.1,0.2,0.0999999999999996,1.3,2019
